P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10409730A0597|45 61|Rap1p binding sites
P10579722T0000|45 61|myosin phosphatase
P05474466T0001|45 60|rheumatoid factor
P08246984A0512|45 59|human PI 3-kinase
P02078570A0287|45 58|avian integrins
P09581872A0000|45 57|type I collagen
P01903841A1449|45 57|wild-type gene
P10556063A0092|45 56|Trk subfamily
P07007591A0324|45 55|transferrin
P10330146A0730|45 54|luciferase
P02044950A0258|45 54|U6 RNA genes
P02745444A0391|45 54|S1 nuclease
P01447189T0000|45 53|RNK-Met-1
P07829102T0000|45 53|Nramp gene
P11092886A0341|45 53|CREMalpha
P02995999A0000|45 53|phi 80 site
P10940562A0379|45 53|oasA2 gene
P08288240A0304|45 52|stathmin
P10585480A0265|45 51|vinexin
P09703021A0000|45 50|AANATs
P03934667A0124|45 50|crsA47
P01396601A0986|45 49|Stl2p
P07902583A0545|45 49|Grf10
P08731511A0625|45 49|ATIII
P09680994A0169|45 49|jaf13
P09037064A0183|45 49|HIV-1
P07490278A0799|45 49|Num1p
P09287352A0930|45 49|SHP-1
P07524265T0000|45 49|G-CSF
P08990168A0688|45 48|JAK1
P10891093A0000|45 48|NHE3
P10564479A0384|45 48|FdsR
P11083432A0332|45 48|FK-1
P10359014A1077|45 48|MAPK
P09467955A0468|45 48|PEA3
P10735848A1440|45 48|oprL
P01695116A0078|45 47|CR1
P08617802A0993|45 47|SH3
P10781611A1023|45 47|LAT
P09832504A0596|45 47|Tat
P09652736A1205|45 47|p53
P09620606A0000|45 47|TCR
P08394019A0695|45 47|Fyn
P09882303A1984|45 47|JNK
P09548481A0000|45 46|P1
P09701616A0108|45 46|RT
P01603088A1121|45 46|TR
P10865422A0138|45 46|Hb
P07592946A0261|46 86|extracellular signal-regulated kinase 1) gene
P01542686A0000|46 84|Rel-related human p75 nucleoprotein complex
P09209406A1021|46 77|guanine nucleotide exchange factors
P07715602A1088|46 77|multisubunit cytochrome c haem lyase
P02537441A0231|46 75|varicella-zoster immune globulin
P08255758A0000|46 75|Drosophila copia retrotransposon
P10528035A1102|46 73|serum alanine aminotransferase
P10455143T0000|46 72|human glucocorticoid receptor
P03137105A0146|46 71|human chorionic gonadotropin
P08749394A0874|46 70|glutathione-S-transferase
P10702926T0089|46 68|alpha beta T cell receptors
P09731704A0000|46 67|estrogen receptor-alpha
P10580438A0508|46 66|GLUT4 repressor element
P04088936T0001|46 65|plasminogen activator
P09118664A1734|46 64|nitric oxide synthase
P09931252A1055|46 61|viral coat protein
P10729221A0798|46 61|Kv4 family members
P01876836T0000|46 61|GA binding protein
P08383526A0591|46 60|receptor protein
P11376007A0584|46 58|protein kinase
P07878040A0505|46 58|mouse enhancer
P06073427T0001|46 55|interferon
P09679066A1352|46 54|SR protein
P10359575A0317|46 54|FcalphaRI
P11145590A0217|46 54|TGF-beta1
P10021350A0093|46 54|Armadillo
P08628284A0181|46 53|lacZ gene
P08289793A1226|46 53|COUP-TFs
P11023832A1038|46 53|TNFalpha
P10575231A0355|46 53|Cdc6 gene
P08838805T0000|46 51|CTNNB1
P09701821A1108|46 51|sigma A
P01429724A0664|46 50|Nmt1p
P02188096A0955|46 50|c-myb
P08576546A0975|46 50|HDC Ac
P09407090T0000|46 50|SR-BI
P10375640A0153|46 50|CBS-1
P11432776A0421|46 50|Graf2
P08683106A0374|46 50|STAT5
P08188290A0544|46 50|TCRDC
P10827952A0158|46 50|TFIID
P01970801A0925|46 49|CD20
P09419421A0385|46 49|TKC1
P10380878A0542|46 49|Bin1
P08034741A0000|46 49|myr 4
P09990060A0937|46 49|p300
P11230145A0732|46 49|CBF1
P09863624A0629|46 49|CRF1
P10066815T0000|46 49|SHIP
P11276426A0501|46 49|Smc3
P11018264A0397|46 49|WASP
P09300698A1219|46 49|MQ9b
P09447962A1027|46 49|XRN1
P11743360A2491|46 49|IL-6
P08178446A1160|46 48|ras
P10860846A0480|46 48|AP2
P07916327A0250|46 48|GSC
P08970991A0747|46 48|p53
P09393966A0190|46 48|CHB
P10721714A1087|46 48|Sp1
P05555149T0001|46 48|S-S
P10939785A0540|46 48|ACE
P09371626A1345|46 48|VP2
P07518257A0351|46 47|P1
P01565882A0737|46 47|Ex
P09201946A0000|47 94|Escherichia coli transcription termination factor rho
P08170400T0000|47 80|Escherichia coli transcription factor
P08300527T0000|47 80|malonyl-coenzyme A decarboxylase gene
P07426101A0124|47 76|adipose tissue lipoprotein lipase
P11062274T0000|47 72|tissue plasminogen activator
P09584179A0673|47 70|transcription factor Adf-1
P09726979T0000|47 69|murine sphingosine kinase
P08183915T0000|47 69|murine p105 NF-kappa B gene
P08644734A0404|47 67|Drosophila dishevelled
P08816459A0090|47 66|orphan receptor RevErb
P10864641A1400|47 66|receptor-binding site
P08164661A0414|47 65|yeast TFIIIC subunits
P07935471A0613|47 64|anti-hHSF1 antibody
P08649372A0501|47 63|MCB-binding factor
P07749461A0632|47 62|sGTH alpha subunit
P01541556A1040|47 60|mutated protein
P10215850A0754|47 60|human TrxR2 gene
P08825178A0071|47 59|HIV-related TB
P04562038T0001|47 59|thymic hormone
P01329039A0951|47 58|TnI enhancers
P07865888A1309|47 57|pre-protein
P09653648A0445|47 56|ZNF189 gene
P11324516A0159|47 56|D2 receptor
P09797189A0559|47 56|CCAAT motif
P10068040A0136|47 55|ubc-9 gene
P10508522A1598|47 54|EWS-FLI1
P09694599A1355|47 54|IL-1beta
P02217741T0001|47 53|insulin
P11074210A0623|47 53|insulin
P07545510A0735|47 53|Cot40-2
P01130186A0568|47 53|insulin
P02290216T0001|47 52|SPan-1
P10551788A0229|47 52|CGbeta
P09524273A0205|47 52|gC1qBP
P03110692A0156|47 52|beta 2m
P01328681A0149|47 51|c-myc
P10523640A0367|47 51|Stat3
P01871971A0836|47 51|NFIII
P08910292T0000|47 51|Cdc42
P02470955A0101|47 51|CSF AP
P07499848A0409|47 51|CD40L
P09294161A0650|47 51|NF-E2
P01714322A0969|47 50|hsps
P10918572A1547|47 50|ErbB
P07537736A0453|47 50|PRLR
P11390684A1170|47 50|jadM
P09094671A1192|47 50|Mts2
P10501034A0839|47 50|hmg2
P01977585A0222|47 50|URA2
P07772036A1000|47 50|MLTF
P09949178A0264|47 50|IL-6
P10366503A1506|47 50|gp20
P08300601A0745|47 50|MyoD
P02165589A0888|47 49|jun
P11073870A0375|47 49|PHC
P07892076A0578|47 49|P-2
P08471796A1654|47 49|nif
P10692433A0000|47 49|G(1
P09949160A0600|47 49|PKC
P03127463A1017|47 49|CSF
P10380232A0000|47 49|CEA
P08576179A0126|48 97|eukaryotic translation initiation factor 2 alpha subunit
P09802206A1058|48 93|TEF, encoding translation elongation factor-1 alpha
P09208930T0000|48 84|interleukin-1beta converting enzyme gene
P03023682A0271|48 79|chloramphenicol acetyltransferase
P07580058A0000|48 78|tissue-type plasminogen activator
P09820611T0000|48 77|recombinant human erythropoietin
P10409724A1021|48 75|immediate-early response genes
P10866886A1277|48 71|morphine-like mu-receptor
P01563635T0000|48 71|M.HinfI methyltransferase
P08209423T0000|48 70|MDV-1 BamHI-D DNA fragment
P02418701A0000|48 70|carcinoembryonic antigen
P01855255T0000|48 66|an interacting GTPase
P00139624A0318|48 65|serum ceruloplasmin
P10198003A1505|48 64|KdgR-binding sites
P08139004A0278|48 64|single-stranded (A
P09920896A1230|48 63|wild type peptides
P11302566A1318|48 63|dopamine receptor
P11580301A1161|48 63|rheumatoid factor
P01438287T0000|48 63|recombinant genes
P07832779A0719|48 62|mutant receptors
P11500913A1238|48 62|beta-casein mRNA
P01709486A0000|48 61|proto-oncogene
P10504332A0701|48 61|mutant receptor
P02713520T0000|48 61|cholinesterase
P01718043A0384|48 58|PMN elastase
P03923976T0001|48 56|factor XII
P09232593A0946|48 56|DJ protein
P08970979A1246|48 56|wild-type
P08378082A1031|48 56|RB protein
P07565685A0420|48 56|GABP alpha
P09817601T0000|48 56|aromatase
P08530107A1003|48 56|histidase
P08449986A0455|48 55|MMI alpha
P08125258A0142|48 55|CHOP gene
P10085140A1004|48 55|TGF-beta
P08824881A0133|48 54|TSC gene
P10767251A1046|48 53|fibrin
P07888629A0344|48 53|MsPRP2
P07509053A0139|48 52|c-Myb
P11168588T0000|48 52|Cdc42
P09797456A0883|48 52|c-myc
P09765277A0000|48 52|Glut 3
P09045636A0789|48 52|Sam68
P09199167A0942|48 52|Vti1p
P06094591A0000|48 51|gp85
P09183406A0637|48 51|Baka
P07636962A1883b|48 51|GAL4
P07565104A0084|48 51|ToxR
P01970560A1024|48 51|lacZ
P11513579A0372|48 51|Rac1
P09046384A0403|48 51|CD4+
P08316209A0000|48 51|CYS3
P09267306A0381|48 51|apo B
P09774662A0958|48 51|E2F1
P08910373A0315|48 50|PP1
P09271393A1333|48 50|CBP
P03102289A0786|48 50|hCG
P09538258A0200|48 50|Ras
P10049359A1073|48 50|PTB
P08618433A1720|48 49|FL
P11642687T0000|48 49|SF
P10380890A0619|48 49|IR
P09472616A1004|48 48|B
P08919907A0763|49 101|vs-1 dependent activation of the -76/grp1.8 minimal promoter
P09748286A0000|49 85|human leukemia inhibitory factor receptor
P10218200A0534|49 85|recombinant tissue plasminogen activator
P09004504A0000|49 84|pla gene (encoding plasminogen activator
P10606515A0389|49 80|beta-retinoic acid receptor element
P02251119A0319|49 74|U14 snRNA-homologous regions
P10366722T0000|49 73|mouse DNA polymerase epsilon
P09209031A0350|49 71|serine carboxypeptidases
P11224226A0000|49 70|benzodiazepine receptor
P08895522T0000|49 70|human trk proto-oncogene
P08427501A0221|49 69|HA-synthesizing enzyme
P10323863A0852|49 69|recombinant telomerase
P07691885T0000|49 67|proto-oncogene c-kit
P01243628A0286|49 65|carboxyhemoglobin
P07929411A0087|49 65|Drosophila protein
P09191052A0850|49 65|Class I Hox proteins
P10562456T0000|49 65|growth hormone gene
P08655497A0000|49 64|Escherichia coli K
P01906509A0072|49 64|human nidogen gene
P09448268A0186|49 62|Drosophila nemo
P08390747A0586|49 62|17 hep syn gB gene
P04138224T0095|49 62|gamma-globulin
P01722319A0849|49 61|CHIP28 protein
P10348859A0292|49 61|MerR homodimer
P02935638A0000|49 57|Spec1 gene
P09362480A0452|49 57|TB domains
P10482620A1009|49 57|MMTV 5' LTR
P07693132A0100|49 57|Zm-ERabp4
P09862496A0187|49 56|betaGLU I
P09596542A0542|49 56|collagen
P09053835A0865|49 55|p53 mRNA
P03544858A0374|49 55|insulin
P11283354A0548|49 55|histone
P10200473A0171|49 55|Usurpin
P02883963A0000|49 54|HTLV-I
P09234690A0242|49 54|Ste12p
P07836406A0884|49 53|MHC-B
P01374392A0341|49 53|NHE-1
P07836471A0375|49 53|hNUC I
P07499242A0898|49 53|RAFTK
P07538122A0800|49 53|Fab A8
P02648396A1033|49 53|c-jun
P08139543A1520|49 53|NHP6B
P05857301T0000|49 53|CC1-4
P03963860A0137|49 52|MY-1
P09537375A0198|49 52|gntT
P09252406A0511|49 52|Grb2
P07680035A0221|49 52|GnRH
P07623840A0352|49 52|GCN2
P11038366A1417|49 52|PP2A
P06795832A0148|49 51|HBc
P08918934A0424|49 51|p62
P08550425A1401|49 51|POR
P08421910A0599|49 51|p30
P09769910A1700|49 51|TNF
P01627828A0475|49 51|SmN
P10464302A1109b|49 51|neu
P00101300A0257|49 50|N1
P02330333A0325|49 50|Ga
P10536369A0662|49 50|TR
P07872673A0332|49 50|Rb
P08289593A1404|49 50|MK
P02708288A0139|49 50|AD
P00665053A0276|49 50|H1
P07675445A0463|49 49|p
P10744974T0000|50 85|Cdc15p mitotic regulatory protein kinase
P03371806A0000|50 81|anti-human seminal acid phosphatase
P09580563A0331|50 76|cytoplasmic dynein heavy chain
P09234696A0238|50 73|mitogen-activated protein
P08649393A0000|50 72|Saccharomyces cerevisiae
P08757943A0876|50 72|thymidine kinase promoter
P03537686A0099|50 71|supF suppressor tRNA gene
P09733815T0000|50 70|protein tyrosine kinase
P10628748A0746|50 70|SF-1 regulatory element
P09365431A0314|50 69|acetylcholinesterase
P10036181A0603|50 69|GPR34 mRNA transcripts
P11012671A0576|50 68|Gadd45gamma promoter
P02884860A0329|50 68|alpha 1 adrenoceptors
P08439564A0883|50 67|Cbl binding proteins
P10473589A0189|50 64|integrase domain
P07525596A0584|50 64|full-length Fpr3
P02559630A0270|50 63|thromboplastin
P09804779A0000|50 63|protein kinases
P08608447A0806|50 63|TPI transcripts
P09204566T0000|50 62|fixNOQP operon
P08726024A0532|50 62|26-kDa product
P10805286A0233|50 61|human PCI gene
P11371115A0962|50 59|HBs antigen
P07862129A1391|50 59|HNF-3 alpha
P01727494A0000|50 59|VV proteins
P08940298A0962|50 59|AF-2 domain
P09427544A0000|50 58|EC 4.2.2.2
P11167019A1249|50 58|ATPsynCF6
P09822825A0141|50 57|BAP3 gene
P10775623A0120|50 57|env genes
P01895393A0745|50 57|Sp1 sites
P10483124T0000|50 56|CIC5F11
P00264240A1843|50 56|5S genes
P01347664A1026|50 56|CAD mRNA
P09920903A1045|50 56|p53 gene
P07565672A0798|50 54|cpc-1
P07760841A0221|50 54|Adr1p
P09685346A0419|50 54|Pit-1
P08075421A0621b|50 54|HrpJ2
P08075421A0621a|50 54|HrpJ2
P04757217T0000|50 53|LCAT
P10490662A0819|50 53|Lace
P02055484A0538|50 53|ATG2
P07835273A0411|50 53|EGFR
P07557424A0124|50 53|lacZ
P09513759A0716|50 53|iPTH
P08626325A0543|50 53|UmuD
P10071205A0833|50 53|STA2
P07789809A1246|50 52|Ypt
P07208984A0000|50 52|MAA
P03050147A0896|50 52|E1a
P07914700A0000|50 52|PKR
P09405685A0113|50 52|p53
P10706475A0644|50 52|DPP
P09858713A1174|50 52|CiD
P11279207A0904|50 52|TCR
P09148935A0805|50 52|FAK
P09936001T0000|50 51|Ga
P08955928A0390|50 51|EB
P11042197A0386|50 51|HD
P00008997A0472|50 50|K
P11709561T0000|51 96|granulocyte-macrophage colony-stimulating factor
P08062824A0626|51 83|peptidyl-prolyl cis-trans isomerase
P07521916T0000|51 81|human immunodeficiency virus type 1
P07565736A2134|51 77|GM-CSF receptor alpha promoter
P01720843A1506|51 77|angiotensin converting enzyme
P11509673A0574|51 76|bacterial P450 AA epoxygenase
P10872831A0000|51 72|erythropoietin receptor
P08922384A0466|51 71|monoclonal 08L antibody
P09393771A1659|51 69|RNA-binding proteins
P09321406T0000|51 69|Ty5 retrotransposons
P09218459A0000|51 69|DNA-binding proteins
P07574682T0000|51 69|alkaline phosphatase
P08207805A0000|51 68|DNA-binding protein
P09267431A0000|51 64|protein kinases
P09633879A0246|51 63|serum ferritin
P10488129T0058|51 62|E2F complexes
P02146495A0706|51 61|basic region
P02162467A0311|51 61|CytR protein
P09628821A1194|51 60|human genes
P08955071T0000|51 59|human ORC1
P09080250A0212|51 58|p15E cDNA
P07723247A1161|51 58|IL-1 beta
P02479635A0659|51 58|PKI(1-31
P10201468A0297|51 58|glucagon
P10767553A0100|51 58|forkhead
P08916928A0950|51 57|PDGF-BB
P10866323A0666|51 57|p21WAF1
P10706736A1091|51 57|gp100 Ag
P09108451A0160|51 56|UCN-01
P10885750A0236|51 56|CREB-2
P09819377A1209|51 56|snR13F
P07474140A1036|51 56|ICP27 C
P10454557A0975|51 56|ARS320
P09915860A0000|51 56|pgp2GC
P08589358A0235|51 55|rhEPO
P09670034A0340|51 55|Mec3p
P11505407A0461|51 55|EpCAM
P09773981A0415b|51 55|Stat5
P10913172A0442|51 55|Rad24
P10021333A0674|51 55|bruno
P10090943A1976|51 55|CD79b
P10407269A0000a|51 55|cdc14
P07770033A0978|51 54|cap3
P09144165A0614|51 54|AP-1
P11535532A0189|51 54|IL-2
P09064659A1055|51 54|UPF1
P09413375A1486|51 54|IL-6
P09188094A0934|51 54|Spc1
P08632015A1226|51 54|DREF
P08816498A0000|51 54|Rats
P01874752A0948|51 54|cdc2
P08816452A0936|51 53|p54
P07652575A0435|51 53|Rac
P09366517A1828|51 53|WT1
P01433524A0788|51 53|IE1
P06895663A0810|51 53|RBT
P11156484A0223|51 53|AFR
P09058250A0128|51 52|NO
P01358880A0251|52 88|human cellular transglutaminase sequence
P09566871T0000|52 85|mitogen-activated protein kinase Fus3
P02204621T0000|52 77|tRNA nucleotidyltransferase
P08632015A0879|52 77|DNA polymerase alpha promoter
P09927589T0000|52 77|Caenorhabditis elegans MAB-3
P11297514A0218|52 74|CBF transcription factors
P02555418A0973|52 74|small Ig-related sequence
P03036817A0213|52 70|NdeI restriction site
P10568744A0728|52 70|alpha-specific genes
P07969954T0000|52 69|anti-GM1 antibodies
P08139001A1235|52 69|NS1 protein molecule
P03004739A0753|52 69|CAT pentanucleotide
P10557072A0127|52 68|UNC-51-like kinase
P01762917A0615|52 67|TGEK tetrapeptide
P01697683T0000|52 65|cytotactin gene
P09683576A0542|52 65|protease domain
P08428952A1957|52 65|plastin isoform
P08668158A1252|52 65|precursor Rpm1r
P07937108A0325|52 65|RNA polymerase I
P00105401A0635|52 65|thyroid hormone
P01830114A1587|52 64|P4 transcripts
P07701266A0808|52 63|somatostatin
P06281786A1222|52 63|histone genes
P10228157T0000|52 62|Dbf2p kinase
P11495920A0504|52 61|CYP3A4 gene
P09111309A0674|52 61|MAP) kinase
P10791901A0609|52 60|viral MRP1
P00150066A0100|52 59|thrombin
P08065365A0000|52 59|pre-mRNA
P08388510A0891|52 59|UL28 gene
P06251469A0830|52 59|IAP units
P09641167A1359|52 59|LDLr gene
P03073091A0449|52 58|insulin
P02591969A0961|52 58|ADH gene
P07622521A0418|52 58|beta ARK
P09130700A0676|52 57|Spc97p
P09032233T0000|52 56|Pit-1
P11000250A0200|52 56|TRADD
P10223338A2186|52 56|HIV-1
P09524259A0301|52 56|IGFIR
P01545797A0587|52 55|slk1
P01840608A0823|52 55|nifA
P08114702A0000|52 55|MEF2
P08566756A0752|52 55|SF3a
P11445008A0816|52 55|FGFR
P09278758A1636|52 55|N1-3
P03212929A0000|52 54|IgE
P09482107A0551|52 54|C3G
P09632637A0361|52 54|M6P
P11278848A1316|52 54|Sp1
P11254134A0648|52 54|PTF
P08479742A0985|52 54|p53
P02402678A0463|52 53|ha
P09465783A0449|52 53|ml
P02538656A0172|52 52|M
P09867855T0000|53 105|rabbit beta-galactoside alpha1,2-fucosyltransferase gene
P08397123T0000|53 91|human corticotropin-releasing hormone gene
P07853488T0000|53 90|human immunodeficiency virus type 1 gag gene
P06099656T0000|53 83|adenovirus DNA binding protein gene
P10492127A0914|53 76|a specific cholecystokinin
P07916685A0455|53 75|prephenate dehydrogenase
P10202006A0546|53 74|Staphylococcal protein A
P10655230A0685|53 74|HisRS-related sequences
P09202669A1530|53 74|rat preproinsulin II gene
P01986254A0452|53 74|B-cell-specific complex
P10692374A1873|53 74|archaeal 20S proteasomes
P10395378A1198|53 74|HA envelope glycoprotein
P07964459A0845|53 68|RING finger family
P03908493A0246|53 68|immunoperoxidase
P08769568A0949|53 68|viperid PLA2 genes
P03395164A0000|53 68|4-amino-methyl-1
P10455183A0530|53 67|Staf zinc fingers
P09586832A0229|53 67|5-HT1A receptors
P03037334A0932|53 66|yeast RP39A gene
P07814388A0662|53 66|IGF II receptors
P03017996A0731|53 65|signal peptide
P10102000A1206|53 65|ERA-III group)
P03417668A1233|53 64|alpha subunit
P01375913A0484|53 64|U14 snRNA gene
P08504932A0123|53 64|GATA proteins
P02811378A0379|53 63|S100 protein
P11179668A0869|53 62|PLTP family
P07509450A0705|53 61|HSV tk gene
P08798512A1197|53 61|u-PAR gene
P08634423A0498|53 60|lacZ gene
P10493575T0000|53 60|beta beta
P09880513A1013|53 59|tubulin
P11583621A0301|53 59|caspase
P09216936T0000|53 58|leptin
P07799931A1232|53 57|c-Maf
P11413277A1121|53 57|ara-C
P07851758A0330|53 57|spt14
P10467004A0683|53 56|EBS1
P10525413A1408|53 56|CRP2
P10498706A1219|53 56|pelE
P07935375A1197|53 56|PGS2
P01682509A0539|53 56|IE55
P08663127A0697|53 56|NKCC
P11350982A0560|53 56|GCN2
P09255349A0836|53 56|IRA1
P01978857A0504|53 55|CD4
P08145770A1078|53 55|PKC
P08936128A0611|53 55|G Hb
P02903500A0278|53 55|neu
P10090535A1194|53 54|Lp
P01372900A1017|54 88|goat alpha s1-casein transcription unit
P09292499A0887|54 86|polypyrimidine tract binding protein
P08555446A0000|54 83|Escherichia coli pyrophosphatase
P06895559A0000|54 79|phosphodiesterase inhibitor
P10894816A0836|54 77|sterol-responsive element
P08298129T0000|54 75|human beta 3 integrin gene
P01845829A0158|54 75|protein-binding domains
P07959952A1446|54 74|mouse mast cell chymases
P07948921A0051|54 73|stilbene synthase cDNA
P07759525A0417|54 72|protein kinase domain
P01846489A1119|54 72|papain-like protease
P03002501A1327|54 72|alpha s1-casein mRNAs
P01850127A0000|54 71|mammalian pre-mRNAs
P08922344A1539|54 68|xanthine oxidase
P08628302A0683|54 68|RNA polymerase II
P09506439A2179|54 67|involucrin gene
P10815807A1271|54 66|c-Myb promoter
P10805739A0343|54 66|eIF2B subunits
P11356716A0372|54 66|GHS-R variants
P10094701A0000|54 66|acetate kinase
P02686985A0811|54 65|PCF1 mutation
P09372968A0996|54 65|I kappaB alpha
P09215525A0581|54 64|DP complexes
P09393706A1171|54 64|mar promoter
P08206867A0874|54 63|COXVb genes
P11408604A1440|54 62|ERK kinase
P01398074A0697|54 61|yeast RNA
P03033283A0837|54 61|IE68 gene
P07984105A1509|54 61|fyuA gene
P08350061A0209|54 60|CD8 gene
P09333026A0851|54 60|brk cDNA
P08552093A0657|54 59|GTPase
P04239041T0045|54 59|ATPase
P08873063A0493|54 59|LvUSF1
P10593950A1113|54 59|U2AF65
P09649426A0636|54 58|Msn2p
P08632779A0351|54 58|NLS-B
P09622055A0207|54 58|c-Cbl
P07937841A0790|54 57|Cip1
P08585883A0381|54 57|CD-1
P08643633A1187|54 57|CBF1
P08649372A0755|54 57|Swi6
P09204570A0110|54 57|nmh7
P10331646A0595|54 57|ART5
P09447963A0223|54 57|SC35
P09858883A1106|54 57|N-A3
P07626469A1341|54 56|LHR
P11035037A0183|54 56|TBP
P07592658A0309|54 56|p50
P07919540A1119|54 56|Myc
P03192950A0566|54 56|TSH
P10517672A1417|54 56|CAT
P07474617A1035|54 56|PRL
P09639558A0957|54 56|IgM
P09808216A0000|54 55|EB
P08505340T0000|55 95|rat prostaglandin endoperoxide synthase 2 gene
P07559524A0741|55 84|mitogen-activated protein kinase
P03780371A0792|55 77|cytochrome P-450PBc2 gene
P09521913A0400|55 76|TGF-beta-related factor
P02403035A0621|55 75|mitochondrial fumarase
P07899581A0000|55 73|superoxide dismutase
P08707922A0334|55 71|O beta-globin genes
P05132558T0000|55 70|monoamine oxidase
P09990507A0000|55 69|ubiquitin ligase
P02711167A0818|55 69|serum pepsinogen
P09553134A0596|55 68|tyrosine kinase
P09819414A1103|55 68|leptin receptor
P08086453T0000|55 67|human APEX gene
P01847665A1079|55 67|PDGF receptors
P08887678A0000|55 67|GAL10 promoter
P10650958A1315|55 66|c-myb element
P01630454A0635|55 66|Act1 promoter
P09151806A1125|55 66|mLAT pre-mRNA
P11208814A0673|55 65|DmCKIIalpha
P10523647A0000|55 65|bZIP protein
P01563343A0548|55 65|CAB promoter
P09547311A1394|55 64|E-cadherin
P10022875A1265|55 64|PI 3-kinase
P08916960A1331|55 63|bcl-2 gene
P02229068A0156|55 62|env genes
P03025862A0860|55 62|ssd chain
P01853796T0000|55 61|insulin
P01644831A0824|55 60|NGFI-B
P08438584A0524|55 60|C2 ORFs
P03651840A0266|55 59|MAO-B
P09560390A0771|55 59|sum1+
P02308496A0000|55 58|ACTH
P07487067A0592|55 58|APS1
P09776360A0620|55 58|AP-1
P10964995A2152|55 58|ER(+
P09038202A1951|55 58|REST
P07862141A0317|55 58|cAPK
P08707840A0753|55 57|p54
P08794326A0405|55 57|TRE
P11094066A1194|55 57|p27
P10490604A0601|55 57|Fyn
P02838246A0225|55 56|T8
P07629163A0770|55 56|PH
P09821978A1255|55 56|MK
P01774062A0257|55 56|Y3
P09187277A0118|55 56|V I
P07592647T0000|55 56|Rb
P09159111A0437|55 56|CD
P01963419A0501|55 55|n
P11139567A1440|56 83|phosphatidylinositol 3-kinase
P02002051T0000|56 82|cAMP-dependent protein kinase
P09512559T0000|56 77|luciferase reporter gene
P11003653A0198|56 76|human beta-globin locus
P08157674T0000|56 76|protein tyrosine kinase
P09988767A1496|56 69|mouse 3Ost genes
P10688646A0535|56 67|HS-40 mutants
P08769409A0114|56 67|RAR beta 2 gene
P02362803A0608|56 67|U3 snRNA genes
P01321337A1161|56 66|cnb1 mutants
P09094315A0541|56 66|cyclin-Cdks
P11260468A1179|56 65|CAP subunit
P11435688A0262|56 65|N-terminus
P07473742A0187|56 65|GATA family
P08357834A0285|56 64|PKC-delta
P11223256A1212|56 64|33RNP gene
P08349632A0679|56 63|PSG12 psi
P08216115A0158|56 63|oxytocin
P07951410A0647|56 62|cyclin A
P07971709A0907|56 62|rhG-CSF
P08636149A0220|56 62|insulin
P09258439A1001|56 61|SsEF-2
P09858619A0356|56 61|ZAP-70
P11416132A1351|56 61|bxd PRE
P09372960A0456|56 60|Fal1p
P09442080A0856|56 60|SHP-2
P09441746A0546|56 60|GPR39
P01845899A0000|56 60|Rep78
P08824884A0000|56 60|FRAXE
P11160896A0713|56 60|MEF2A
P10974541A0389|56 60|MZF1B
P10436016A0337|56 60|Mad2p
P07852400A0519|56 59|RhoA
P11323411A0505|56 59|SHP2
P09368419A0000|56 59|rd22
P08921387A1182|56 59|EZH1
P10362652A1456|56 59|ERK2
P02164585A0814|56 59|traX
P11328853A0644|56 59|SF-1
P09840934A0435|56 59|Rafl
P02994336A0864|56 59|ACTH
P07768848A1880|56 59|cotE
P08336698T0000|56 59|TFE3
P02482293A1518|56 58|EGF
P10068446A0124|56 58|PKC
P07559650A0558|56 58|E2F
P01321277A0342|56 58|ROS
P08112870A0484|56 58|SOD
P01310879A0000|56 58|HAT
P09050849A1459|56 58|ARF
P07493327A0507|56 57|U4
P02928376A0312|56 57|H2
P11078726X0000|57 93|p53-dependent transcription. p53 protein
P01735721A0185|57 87|Bacillus stearothermophilus TyrTS
P11359907A0099|57 87|vascular endothelial growth factor
P11223246A0359|57 86|retinoblastoma-binding proteins
P10805739A0640|57 86|eIF2Bepsilon (residues 518 to 712)
P09091125A0161|57 83|alkaline and acid phosphatases
P10648020A0151|57 82|tissue plasminogen activator
P09079928A0525|57 81|oxyR-ahpC intergenic region
P09643546A0436|57 80|sigmaA-dependent promoter
P10576545A0926|57 77|murine D1A gene promoter
P02144610A1306|57 77|T-cell nuclear proteins
P07592711T0000|57 76|G protein alpha subunit
P07961957A1565|57 75|HF-1a-related factor
P06495195A0536|57 75|alkaline phosphatase
P09032275A1133|57 74|AHC deletion mutants
P09705564T0000|57 73|E1E4,E5 transcript
P08226616A0000|57 72|nitrate reductase
P09792439T0000|57 70|hnRNP C1 protein
P09660838A0920|57 69|protein kinase
P09891061A0373|57 68|SpHE promoter
P00222102A0227|57 67|vitamin-D-3
P09844106A0835|57 67|fibronectin
P11469853A1053|57 67|small GTPase
P09660823A0934|57 67|p70 S6 kinase
P07958920A1157|57 67|RNase MRP RNA
P08367487A1014|57 67|12S U2 snRNPs
P09570952A0000|57 65|M-protein
P02985820A1287|57 65|c-myc gene
P08149484A1551|57 64|PKC delta
P06869986A0000|57 64|collagen
P09806858T0000|57 64|rnaI gene
P11888867A0000|57 63|TA90-IC
P09346953A0000|57 63|HSPGact
P09343398A1193|57 63|pcna-79
P08649425A0373|57 62|DNase I
P03001353A0146|57 62|P58gag
P09241232A0653|57 62|AP site
P09790771A1032|57 62|Gng3lg
P01545818A0696|57 61|v-Src
